Partlist

Exported from keyBoard_A.brd at 2016-08-18 11:49:36

EAGLE Version 6.3.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value              Package             Library           Position (mil)        Orientation

JB55                        SJ                  detali            (9662.5 -10750)       R0
JB56                        SJ                  detali            (10387.5 -10875)      R0
JB57                        SJ                  detali            (10600 -10881.25)     R180
JB58                        SJ                  detali            (11325 -10900)        R180
JB59                        SJ                  detali            (12925 -10875)        R180
JB60                        SJ                  detali            (7975 -11775)         R270
JB61                        SJ                  detali            (8637.5 -11750)       R270
JB62                        SJ                  detali            (9075 -11737.5)       R270
JB63                        SJ                  detali            (10375 -11625)        R0
JB64                        SJ                  detali            (10575 -11650)        R180
JB65                        SJ                  detali            (11325 -11650)        R180
JB66                        SJ                  detali            (12387.5 -11762.5)    R180
JB67                        SJ                  detali            (13125 -11737.5)      R0
JB67B                       SJ                  detali            (12162.5 -10862.5)    R180
JB68                        SJ                  detali            (7975 -12525)         R270
JB69                        SJ                  detali            (8925 -12250)         R0
JB70                        SJ                  detali            (9462.5 -12512.5)     R180
JB71                        SJ                  detali            (10375 -12375)        R0
JB72                        SJ                  detali            (10575 -12437.5)      R270
JB73                        SJ                  detali            (11325 -12375)        R180
JB74                        SJ                  detali            (13112.5 -12375)      R0
JB74B                       SJ                  detali            (13012.5 -9850)       R180
JB75                        SJ                  detali            (7887.5 -13275)       R270
JB76                        SJ                  detali            (8637.5 -13262.5)     R0
JB77                        SJ                  detali            (9362.5 -13225)       R270
JB78                        SJ                  detali            (10087.5 -13350)      R270
JB79                        SJ                  detali            (10875 -13243.75)     R0
JB80                        SJ                  detali            (11562.5 -13337.5)    R0
JB81                        SJ                  detali            (12550 -13225)        R180
JB82                        SJ                  detali            (8525 -14012.5)       R0
JB83                        SJ                  detali            (10412.5 -13875)      R180
JB84                        SJ                  detali            (11237.5 -13887.5)    R180
JB85                        SJ                  detali            (12200 -13950)        R180
JB86                        SJ                  detali            (13325 -14000)        R270
JB87                        SJ                  detali            (9825 -14012.5)       R0
L1       MH2029-300Y        0805                wuerth-elektronik (6912.5 -17887.5)     R270
L2       MH2029-300Y        0805                wuerth-elektronik (5237.5 -17662.5)     R0
R3                          R1206W              rcl               (2575 -9900)          MR270
R4       1M                 R0603-ROUND         SmartPrj          (6637.5 -17937.5)     R0
R5       NM                 R0402               SmartPrj          (6937.5 -18373.5)     MR90
R6       NM                 R0402               SmartPrj          (6937.5 -18348.5)     MR90
R8                          R1206W              rcl               (6000 -10250)         MR270
R9                          R1206W              rcl               (2500 -9900)          MR270
R10                         M0805               rcl               (650 -12500)          MR90
R11                         M0805               rcl               (775 -12450)          MR90
R12                         M0805               rcl               (100 -12675)          MR0
R13                         M0805               rcl               (225 -12725)          MR180
R14                         M0805               rcl               (175 -13225)          MR180
R15                         M0805               rcl               (162.5 -13725)        MR270
R16      1k                 R1206W              rcl               (12650 -10112.5)      MR0
R17      10k                R0805               rcl               (9087.5 -9562.5)      MR90
R18      10k                R0805               rcl               (8912.5 -10750)       MR0
R19      10k                R0805               rcl               (8975 -10675)         MR180
R20      10k                R1206W              rcl               (9012.5 -10600)       MR180
R21      10k                R0805               rcl               (9187.5 -9700)        MR180
R22      10k                R0805               rcl               (9100 -9775)          MR0
